"Id","Fiume","Luogo","Url","Regione"
13,"Livenza","Sacile","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-sacile?sensor=WATER_LEVEL","Friuli"
17,"Livenza","Portobuffolè","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=400&sr=1&idsr=300006788","Veneto"
15,"Livenza","Tremeacque Livenza","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tremeacque-livenza?sensor=WATER_LEVEL","Friuli"
16,"Livenza","Meduna di Livenza","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=306&sr=1&idsr=300005783","Veneto"
51,"Meschio","Ponte della Muda","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-della-muda?sensor=WATER_LEVEL","Friuli"
55,"Settimana","Briglia","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-settimana-briglia?sensor=WATER_LEVEL","Friuli"
18,"Meduna","Meduno","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-meduno?sensor=WATER_LEVEL","Friuli"
19,"Meduna","Colle","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-colle?sensor=WATER_LEVEL","Friuli"
20,"Meduna","Pordenone","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pordenone-meduna?sensor=WATER_LEVEL","Friuli"
21,"Meduna","Tremeacque Meduna","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tremeacque-meduna?sensor=WATER_LEVEL","Friuli"
22,"Colvera di Raut","Maniago","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-maniago?sensor=WATER_LEVEL","Friuli"
23,"Colvera di Raut","Tesis","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tesis-tcolvera?sensor=WATER_LEVEL","Friuli"
25,"Alba","Andreis","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-torrente-alba?sensor=WATER_LEVEL","Friuli"
26,"Cosa","Travesio","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-travesio?sensor=WATER_LEVEL","Friuli"
27,"Arzino","San Francesco Idro","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-sfrancesco-idro?sensor=WATER_LEVEL","Friuli"
28,"Arzino","Ponte Armistizio","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-armistizio?sensor=WATER_LEVEL","Friuli"
29,"Fella","Dogna","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-dogna?sensor=WATER_LEVEL","Friuli"
30,"Fella","Chiusaforte","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-chiusaforte?sensor=WATER_LEVEL","Friuli"
31,"Fella","Resiutta","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-resiutta?sensor=WATER_LEVEL","Friuli"
32,"Fella","Moggio Udinese","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-moggio-udinese?sensor=WATER_LEVEL","Friuli"
33,"Chiarsò","Ponte Lovea","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-lovea?sensor=WATER_LEVEL","Friuli"
34,"Chiarsò","Cedarchis","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cedarchis?sensor=WATER_LEVEL","Friuli"
35,"But","Cleulis","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cleulis?sensor=WATER_LEVEL","Friuli"
36,"But","Terme di Arta","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-terme-di-arta?sensor=WATER_LEVEL","Friuli"
37,"Torre","Tarcento","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-tarcento?sensor=WATER_LEVEL","Friuli"
38,"Torre","Ponte di Nimis","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-ponte-di-nimis?sensor=WATER_LEVEL","Friuli"
39,"Torre","Zompitta Idro","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-zompitta-idro?sensor=WATER_LEVEL","Friuli"
40,"Torre","Cerneglons","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cerneglons-torre?sensor=WATER_LEVEL","Friuli"
41,"Natisone","Pulfero","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-pulfero?sensor=WATER_LEVEL","Friuli"
42,"Natisone","Azzida","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-azzida?sensor=WATER_LEVEL","Friuli"
43,"Natisone","Cividale","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-cividale-idro?sensor=WATER_LEVEL","Friuli"
44,"Corno","Coseano","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-coseano?sensor=WATER_LEVEL","Friuli"
45,"Corno","Codroipo","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-codroipo?sensor=WATER_LEVEL","Friuli"
46,"Piave","Segusino","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=327&sr=1&idsr=300005831","Veneto"
47,"Piave","Nervesa","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=309&sr=1&idsr=300005790","Veneto"
48,"Piave","Belluno","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=271&sr=1&idsr=300005688","Veneto"
49,"Piave","Ponte della Lasta","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=406&sr=1&idsr=300007028","Veneto"
50,"Cordevole","Ponte Mas","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=277&sr=1&idsr=300005728","Veneto"
52,"Muson","Castefranco Veneto","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=292&sr=1&idsr=300005762","Veneto"
53,"Boite","Cancia","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=403&sr=1&idsr=300006812","Veneto"
54,"Brenta","Limena","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=302&sr=1&idsr=300005777","Veneto"
58,"Astico","Pedescala","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=404&sr=1&idsr=300006814","Veneto"
56,"Astico","Posina a Stancari","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=407&sr=1&idsr=300006969","Veneto"
57,"Astico","Lugo di Vicenza","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=305&sr=1&idsr=300005780","Veneto"
59,"Bacchiglione","Longare","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=303&sr=1&idsr=300005778","Veneto"
60,"Brenta","Stra","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=283&sr=1&idsr=300005751","Veneto"
62,"Po","Ficarolo","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=399&sr=1&idsr=300006608","Veneto"
63,"Monticano","Vazzola","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=331&sr=1&idsr=300005835","Veneto"
64,"Monticano","Gorgo al Monticano","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=299&sr=1&idsr=300005773","Veneto"
65,"Chiampo","San Vito Veronese","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=377&sr=1&idsr=300006109","Veneto"
66,"Bacchiglione","Vicenza","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=333&sr=1&idsr=300005837","Veneto"
67,"Cordevole","Biois di Cencenighe","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=402&sr=1&idsr=300006808","Veneto"
68,"Meschio","Cordignano","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=296&sr=1&idsr=300005769","Veneto"
69,"Meschio","Borgo Campion","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=462&sr=1&idsr=300008648","Veneto"
70,"Monticano","Oderzo","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=310&sr=1&idsr=300005791","Veneto"
71,"Monticano","Fontanelle","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=298&sr=1&idsr=300005771","Veneto"
72,"Brenta","Barziza","http://www.arpa.veneto.it/temi-ambientali/acqua/datiacqua/dati_idrometeo_stazione.php?id=283&sr=1&idsr=300005751","Veneto"
74,"Degano","Comeglians","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-comeglians?sensor=WATER_LEVEL","Friuli"
75,"Degano","Villa Santina","http://www.protezionecivile.fvg.it/it/rete-idrometeorologica/pciv-villa-santina-tdegano?sensor=WATER_LEVEL","Friuli"
